Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
base,4486L,1.818678974024,1.79877948834643,1.72723005722204,1.9395653863656,0.0315499930510138,1.78712898097299,1.85022896707502,1.89363319718596,1.79877948834643,1.9395653863656,1.77477835962732,1.72723005722204,1.79602062844841
base,4485L,2.22422353044943,2.24698528389628,1.94654840689809,2.40934434086254,0.0585246118977026,2.16569891855173,2.28274814234714,2.31260759391594,2.24698528389628,2.40934434086254,2.18974454298849,1.94654840689809,2.22546104881954
base,4484L,1.77382048474299,1.7796480087221,1.64357774909562,1.9031827281877,0.0268314944092551,1.74698899033374,1.80065197915225,1.80430590463189,1.7796480087221,1.9031827281877,1.74666517970374,1.64357774909562,1.77713587480967
base,4452L,1.73906378607851,1.73998264895543,1.65642534352812,1.87289828225136,0.0225196557706424,1.71654413030787,1.76158344184915,1.77302315050222,1.73998264895543,1.87289828225136,1.71039549363807,1.65642534352812,1.73327773851514
base,2647L,1.68276128764146,1.67783587667177,1.62341523154017,1.77116555547347,0.018234688089948,1.66452659955152,1.70099597573141,1.70570932407604,1.67783587667177,1.77116555547347,1.66241145707841,1.62341523154017,1.67673261066613
base,2646L,1.61686971690927,1.61230200829143,1.5377671584863,1.69245725274927,0.0200667076341111,1.59680300927516,1.63693642454339,1.65157254806029,1.61230200829143,1.69245725274927,1.5867970711719,1.5377671584863,1.60697896290554
base,2639L,1.63313000449381,1.64217152849475,1.52760408527802,1.71241575504259,0.0222240508462268,1.61090595364758,1.65535405534003,1.66896122997934,1.64217152849475,1.71241575504259,1.60333232484947,1.52760408527802,1.63702974195494
base,2620L,1.6932214632355,1.69243020747477,1.64296378773759,1.75453438690188,0.0141076246756107,1.67911383855988,1.70732908791111,1.7150160637172,1.69243020747477,1.75453438690188,1.67246129314008,1.64296378773759,1.68276686790069
base,2613L,1.668483940344,1.6723438836152,1.58450383093189,1.74402992749147,0.0169463053117706,1.65153763503222,1.68543024565577,1.6954369981989,1.6723438836152,1.74402992749147,1.65238665258109,1.58450383093189,1.66840003655655
base,2610L,1.63465558377767,1.63217634163139,1.56572663358449,1.71268966936705,0.017331438415931,1.61732414536174,1.6519870221936,1.65445495965465,1.63217634163139,1.71268966936705,1.61462739143086,1.56572663358449,1.63167460311104
base,2608L,1.79335003655707,1.78712677287882,1.69794156898514,1.90980108488994,0.023295233289244,1.77005480326783,1.81664526984632,1.82950969636606,1.78712677287882,1.90980108488994,1.76745546622472,1.69794156898514,1.78148957908847
